filename,width,height,class,xmin,ymin,xmax,ymax
1.1551208882-samsung-galaxy-s10e-smartphone-1550695757.jpg,2000,2000,phone,519,23,1507,1976
10.smoking-cigarettes-stop.jpg,594,396,cigarette,189,49,455,384
101.105499610-1539206076683smoking.jpg,630,419,cigarette,202,188,379,242
106.960x0.jpg,960,640,phone,116,41,764,591
118.Cigarette_Hands_1296x728-header-1296x728.jpg,1155,648,cigarette,332,191,542,338
12.asdsadasd.jpg,1620,1078,phone,624,150,1017,970
124.cigarette-smoking-snake.jpg,468,333,cigarette,17,83,223,250
140.know_4.jpg,1200,675,cigarette,395,262,536,391
16.49d54f5898c8457999339e41119ce1d5.png,300,300,cigarette,118,20,135,182
18.cigarette_02.jpg,4134,5315,cigarette,664,1569,4052,4851
19.montreal-que-may-05-2015-a-montrealer-lights-up-a-ciga1.jpg,840,630,cigarette,240,86,658,372
2.V30-medium01.jpg,940,620,phone,331,37,608,584
20.Cigarette_%28Primitive_Plus%29.png,256,256,cigarette,33,64,246,237
20190529095928.jpg,510,1101,phone,217,142,329,794
20190529095955.jpg,1110,1368,phone,80,698,266,1309
20190529095958.jpg,501,1164,phone,55,50,411,1073
20190529100005.jpg,504,1008,phone,34,31,459,901
20190529100008.jpg,515,906,phone,52,24,498,889
20190529100010.jpg,443,845,phone,21,25,425,829
20190529100012.jpg,289,884,phone,43,30,262,854
20190529100017.jpg,638,842,phone,502,351,613,816
20190529100019.jpg,564,929,phone,67,83,492,897
20190529100122.jpg,489,617,phone,82,23,355,526
20190529125052.jpg,1596,1698,phone,409,609,540,1142
20190529125104.jpg,1668,2303,phone,796,685,1069,1385
20190529125112.jpg,1644,2033,phone,907,590,1140,1251
20190529125122.jpg,1908,2309,phone,1374,1188,1743,1530
20190529125144.jpg,1524,1919,phone,389,884,1174,1639
20190529125149.jpg,1650,2386,phone,892,677,1113,1413
20190529125156.jpg,1770,2411,phone,1080,900,1408,1449
20190529130230.jpg,2418,3036,cigarette,1397,1462,2133,2872
20190529130243.jpg,2358,3168,cigarette,1449,1411,2035,2366
20190529130251.jpg,2526,2940,cigarette,1480,1535,1946,1885
20190529130302.jpg,2514,2442,cigarette,1608,1031,2463,1620
20190529130310.jpg,2118,2838,cigarette,881,1088,1139,1921
20190529130321.jpg,2502,2982,cigarette,839,1835,1268,2922
20190529130329.jpg,2082,2093,cigarette,111,211,1824,1849
20190529130335.jpg,2256,1805,cigarette,119,761,2006,1586
20190529130404.jpg,2088,2375,cigarette,147,308,1798,2118
20190529130412.jpg,1962,2525,cigarette,271,408,1634,2216
20190529130419.jpg,1326,1841,cigarette,170,167,917,1407
20190529130427.jpg,1404,1385,cigarette,201,233,1097,1105
20190529130434.jpg,2418,1410,cigarette,151,606,2242,952
20190529130442.jpg,2484,1782,cigarette,237,830,2358,1396
20190529130449.jpg,1926,2476,cigarette,301,216,1585,2285
20190529130545.jpg,2436,1956,cigarette,190,300,2142,1782
22.Cropped-Image-Of-Hand-Holding-Burning-Cigarette.jpg,615,409,cigarette,206,132,337,332
26.Smoking-616023.jpg,620,413,cigarette,134,160,455,270
27.panasonic-eluga-x1-smartphone.jpg,800,800,phone,212,30,586,766
28.cigarette_smoke-56b368813df78cdfa004d004.jpg,768,513,cigarette,212,404,665,485
28.eda3724b-27e8-46fe-90cd-3a84678a9b31_1.25d0865f300a0ec45affe204985f243b.jpeg,2000,2000,phone,494,4,1512,2000
29.481ff910-531d-41b6-bad7-91c11e9a15c4-large16x9_highriskbehaviorcigarettesmokingtobaccoashb142773541631948ver10.jpg,986,555,cigarette,326,151,982,555
3.bvode8sl.jpg,992,558,phone,353,1,635,556
30.Cigarette-s_x.jpeg,1600,1200,cigarette,91,220,1386,1016
38.cigarette-2723433_1920.jpg,600,400,cigarette,221,60,433,396
38.nokia-7-1-review-1.jpg,1600,1201,phone,391,139,1169,1191
39.burning-cigarette-white-background_1232-877.jpg,626,667,cigarette,273,270,344,662
4.417MNhBZfnL._SY300_QL70_.jpg,300,300,phone,81,10,219,288
40.vrvdlwb8gkrgpnc8aspc.jpg,800,450,phone,15,73,788,408
41.smartphone-tp-top-2x1-lowres1024-7951.jpg,1024,512,phone,135,5,586,506
46.smoking.jpg,968,681,cigarette,34,224,743,442
47.170530122318-smoldering-cigarette-exlarge-169.jpg,780,438,cigarette,4,138,589,305
5.1101002027.jpg,992,558,phone,366,2,639,558
51.E-Cigarette_CDC_FB.jpg,1200,627,cigarette,196,333,997,491
56.cigarette-in-an-ashtray.jpg,1100,728,cigarette,531,292,962,428
57.1547196182-cigg.PNG,0,0,cigarette,370,107,512,247
59.106-google-pixel-3.jpg,868,488,phone,337,18,551,468
6.150513-smoking-cigarette-jpo-508p_d58f1abb2c671a81b2ebca7a28816dc3.fit-760w.jpg,760,526,cigarette,44,160,594,448
60.smartphone-highways-england.jpg,640,427,phone,211,64,500,387
67.cigarettes-05.jpg,600,600,cigarette,17,78,585,519
69.Smoking%2C%20cigarettes.jpg,1280,720,cigarette,218,475,724,647
73.shutterstock_152877845.jpg,1000,669,cigarette,236,482,858,570
8.lit_cigarette-56e06deb3df78c5ba0555ed7.jpg,768,511,cigarette,194,183,506,315
81.HuaeweiP30Pro-4-920x613.jpg,920,613,phone,387,29,712,583
82.1200px-Fotos_produzidas_pelo_Senado_%2830554309793%29.jpg,1200,801,phone,304,179,656,753
82.1200px-Fotos_produzidas_pelo_Senado_%2830554309793%29.jpg,1200,801,phone,797,47,1130,476
9.614281-oneplus-6t.jpg,810,456,phone,307,34,507,439
92.getty_813099398_2000133320009280347_354236.jpg,1940,900,phone,295,205,710,552
92.getty_813099398_2000133320009280347_354236.jpg,1940,900,phone,1128,164,1558,505
93.5beda10248eb12099e57b817-750-500.jpg,750,500,cigarette,188,152,473,396
96.cigarettes-smuggling-agen.jpg,300,225,cigarette,76,78,286,123
